위도,경도
37.6212691,126.9274781
37.5979948,126.9136836
37.5981546,126.9122707
37.5924017,126.9018377
37.5828229,126.9076499
37.5753495,127.0198525
37.5831783,126.9978335
37.5824721,126.969599
37.5795738,127.0152701
37.5753729,127.0142401
37.552168,127.005612
37.5521585,127.0103332
37.55816975,127.0067954
37.5540663,127.0068509
37.550527,127.0062875
37.5514933,127.0131066
37.559881,127.000854
37.5600403,126.9858441
37.593117,127.080948
37.5919964,127.0949013
37.6000886,127.0793834
37.5945908,127.0859844
37.587364,127.087499
