주소,위도,경도
서울특별시 강남구 남부순환로378길 34-9,37.486423,127.045433
서울특별시 강남구 논현로64길 7,37.493719,127.0424148
서울특별시 강남구 도곡로18길 57,37.4894218,127.0383343
서울특별시 강남구 도곡로77길 23,37.5000976,127.0579215
서울특별시 강남구 도산대로 163,37.5225746,127.0406891
서울특별시 강남구 양재대로55길 14,37.4920557,127.087615
서울특별시 강남구 영동대로65길 24,37.5023067,127.0642127
서울특별시 강남구 학동로20길 25,37.5115546,127.0284464
