역이름,위도,경도
삼송역,37.65306773,126.8956537
충무로역,37.56139298,126.9941372
화정역,37.63463316,126.8326658
당고개역,37.67020604,127.0790485
상계역,37.66071334,127.0734171
노원역,37.65634036,127.0634401
창동역,37.65332049,127.0476405
쌍문역,37.6485318,127.0346516
수유역,37.63786648,127.0254921
미아역,37.62664008,127.026032
미아사거리역,37.61326845,127.0300821
길음역,37.60337676,127.02505
성신여대입구역,37.59296272,127.0171204
한성대입구역,37.58840479,127.0060008
혜화역,37.5820259,127.0019246
동대문역,37.571664,127.010618
동대문역사문화공원역,37.56564549,127.0089872
충무로역,37.56139298,126.9941372
명동역,37.56095986,126.9863956
회현역,37.55876024,126.9784282
서울역,37.55331631,126.9697383
숙대입구역,37.54459523,126.9721181
삼각지역,37.53443213,126.9729139
신용산역,37.52925915,126.9679605
이촌역,37.52244891,126.9733255
동작역,37.50297056,126.980299
총신대입구역,37.48678878,126.9822028
사당역,37.47655322,126.9815495
남태령역,37.46424635,126.9890807
선바위역,37.45174078,127.0022151
경마공원역,37.44395578,127.00782
대공원역,37.43604493,127.0067344
과천역,37.4328735,126.9966103
정부과천청사역,37.42649391,126.9898545
인덕원역,37.40147975,126.9766663
평촌역,37.3942323,126.9637945
범계역,37.38977654,126.9507652
금정역,37.37245559,126.9434607
산본역,37.3580157,126.9330418
대야미역,37.32796512,126.9168885
반월역,37.31236734,126.9038199
상록수역,37.30285234,126.8665876
한대앞역,37.30975702,126.8536706
중앙역,37.31600848,126.8384964
고잔역,37.31679727,126.8230166
초지역,37.32066297,126.8059491
안산역,37.32701304,126.7888729
신길온천역,37.33762224,126.7670415
정왕역,37.35180851,126.7429119
오이도역,37.36169184,126.7383855
수리산역,37.35055076,126.9256219
방화역,37.57758875,126.8128012
개화산역,37.57253355,126.8068143
김포공항역,37.56194774,126.8019069
송정역,37.561154,126.8124123
마곡역,37.56021781,126.8246834
발산역,37.55866872,126.8377251
우장산역,37.54880987,126.8363206
화곡역,37.54164355,126.8404324
까치산역,37.53222704,126.8464262
신정역,37.52501318,126.8560794
목동역,37.52612248,126.8646072
오목교역,37.52453046,126.8752892
양평역,37.52556883,126.8864193
영등포구청역,37.52583052,126.8966683
영등포시장역,37.52270218,126.9051796
신길역,37.51678342,126.9183536
여의도역,37.52116647,126.9246384
여의나루역,37.52713613,126.9329815
마포역,37.53954051,126.9458467
공덕역,37.54453447,126.9514331
애오개역,37.55340233,126.9566558
충정로역,37.55974797,126.9644842
서대문역,37.56574923,126.9666319
광화문역,37.5716441,126.9764096
종로3가역,37.57042084,126.9921442
을지로4가역,37.5666369,126.997623
동대문역사문화공원역,37.56564549,127.0089872
청구역,37.56020299,127.0139212
신금호역,37.55447169,127.0204841
행당역,37.55735297,127.0294937
왕십리역,37.56126116,127.0370785
마장역,37.56612455,127.0429667
답십리역,37.56696761,127.0525432
장한평역,37.56159218,127.0636992
군자역,37.5571497,127.0794948
아차산역,37.55224106,127.0895615
광나루역,37.54529197,127.1035169
천호역,37.53849681,127.1239194
강동역,37.53587473,127.1323782
길동역,37.53781209,127.1400077
굽은다리역,37.54550319,127.1428737
명일역,37.5513943,127.1440392
고덕역,37.55503956,127.1541639
상일동역,37.55666348,127.1658921
둔촌동역,37.52765324,127.1362101
올림픽공원역,37.51632457,127.1309637
방이역,37.50874343,127.126087
오금역,37.50212807,127.1279306
개롱역,37.49795748,127.1350705
마천역,37.49503458,127.1528418
거여역,37.49331604,127.1437693
응암역,37.59848384,126.9155241
역촌역,37.60621934,126.9228313
불광역,37.61004419,126.9303022
연신내역,37.61919243,126.9210962
구산역,37.61124308,126.9172538
새절역,37.59086003,126.9135625
증산역,37.58373913,126.9094724
디지털미디어시티역,37.57600202,126.9012631
월드컵경기장역,37.56962115,126.8990982
마포구청역,37.56347996,126.9034075
망원역,37.55607905,126.9100943
합정역,37.54990144,126.9144473
상수역,37.54776257,126.9224163
광흥창역,37.54748017,126.9320127
대흥역,37.54762988,126.9424687
공덕역,37.54453447,126.9514331
효창공원앞역,37.53929433,126.9613936
삼각지역,37.53443213,126.9729139
녹사평역,37.53470477,126.9865361
이태원역,37.53450718,126.9943203
한강진역,37.53978717,127.0017425
버티고개역,37.54782391,127.0067218
약수역,37.55449098,127.0108871
독바위역,37.61840694,126.9330355
신당역,37.56566224,127.0194685
동묘앞역,37.57321306,127.0163461
창신역,37.57941204,127.0152833
보문역,37.58553809,127.0199945
안암역,37.586293,127.0292334
고려대역,37.59043561,127.0363004
월곡역,37.60180442,127.0414471
상월곡역,37.60654081,127.0488111
돌곶이역,37.61053781,127.0564245
석계역,37.61500193,127.0656702
태릉입구역,37.61845592,127.0753917
봉화산역,37.61734543,127.0913612
청구역,37.56020299,127.0139212
화랑대역,37.61983796,127.0835259
신내역,37.61248742,127.1042669
장암역,37.69995296,127.0528183
도봉산역,37.68955853,127.0460537
수락산역,37.67787787,127.0553419
마들역,37.66519095,127.0576899
노원역,37.65634036,127.0634401
중계역,37.64507771,127.0641103
하계역,37.63646213,127.0679777
태릉입구역,37.61845592,127.0753917
먹골역,37.61061578,127.0777622
중화역,37.60254189,127.0792939
상봉역,37.59669897,127.0857421
면목역,37.58869687,127.0874993
사가정역,37.58092958,127.0884864
용마산역,37.57370489,127.0867572
중곡역,37.56586804,127.084258
군자역,37.5571497,127.0794948
어린이대공원역,37.54794467,127.0746417
건대입구역,37.54039761,127.0692029
뚝섬유원지역,37.53155118,127.0667736
청담역,37.51944838,127.0537089
강남구청역,37.51720086,127.0412872
학동역,37.5143566,127.0318974
논현역,37.51118739,127.0216486
반포역,37.50814341,127.0115816
고속터미널역,37.50453984,127.0051346
내방역,37.48765492,126.9935776
이수역,37.48678878,126.9822028
남성역,37.4847863,126.9708966
숭실대입구역,37.49631367,126.9536129
상도역,37.5028526,126.9479089
장승배기역,37.50488464,126.9390633
신대방삼거리역,37.49974281,126.928211
보라매역,37.49991814,126.9205886
신풍역,37.50010856,126.9097317
대림역,37.49330273,126.8949265
남구로역,37.48698929,126.8879703
가산디지털단지역,37.48038874,126.8826437
철산역,37.47619283,126.868202
광명사거리역,37.47929468,126.8548557
천왕역,37.48684204,126.8385816
온수역,37.49195669,126.8238253
까치울역,37.50620931,126.8113284
부천종합운동장역,37.50541107,126.7972158
신중동역,37.50294171,126.7768882
부천시청역,37.50462869,126.764058
삼산체육관역,37.50649141,126.7414097
굴포천역,37.50702756,126.731342
부평구청역,37.50741907,126.721433
공릉역,37.62553917,127.07302
춘의역,37.50368117,126.7869967
상동역,37.50577775,126.7531744
암사역,37.55013386,127.1275373
천호역,37.53849681,127.1239194
강동구청역,37.53019318,127.1204437
몽촌토성역,37.5178029,127.112845
잠실역,37.51330927,127.1002152
석촌역,37.50541053,127.1069905
송파역,37.49971136,127.1121845
가락시장역,37.49309205,127.1182582
문정역,37.48602386,127.1224758
장지역,37.4786317,127.126172
복정역,37.47073829,127.1267014
산성역,37.45679931,127.1500739
남한산성입구역,37.45166871,127.1598735
단대오거리역,37.4450234,127.156763
신흥역,37.44090864,127.1475336
수진역,37.43736718,127.1405209
모란역,37.43402749,127.1299614
개화역,37.57833729,126.7968823
김포공항역,37.56194774,126.8019069
공항시장역,37.56367389,126.810595
신방화역,37.56748653,126.8172183
마곡나루역,37.56670899,126.8274074
양천향교역,37.56806284,126.8419608
증미역,37.55812134,126.8606334
등촌역,37.55072086,126.8655586
선유도역,37.53815324,126.8933248
염창역,37.54696492,126.8748671
신목동역,37.54427035,126.8830868
당산역,37.5347735,126.9026073
국회의사당역,37.52813568,126.9178209
여의도역,37.52116647,126.9246384
샛강역,37.51736656,126.9283751
노량진역,37.51357125,126.9408887
노들역,37.5126577,126.9530825
흑석역,37.50916547,126.963445
동작역,37.50297056,126.980299
구반포역,37.50142181,126.9874468
신반포역,37.50349472,126.9960643
고속터미널역,37.50453984,127.0051346
사평역,37.50423263,127.015268
신논현역,37.50480751,127.0254694
석촌고분역,37.50246428,127.0964912
석촌역,37.50541053,127.1069905
송파나루역,37.51100951,127.1126538
한성백제역,37.51651998,127.1164401
올림픽공원역,37.51632457,127.1309637
둔촌오륜역,37.51939724,127.1386385
중앙보훈병원역,37.52839539,127.1484071
가양역,37.56142949,126.8544022
선정릉역,37.51092904,127.0436137
삼성중앙역,37.51296146,127.0530256
봉은사역,37.51423744,127.0602203
종합운동장역,37.51113026,127.0738359
삼전역,37.5045437,127.0873557
언주역,37.50732819,127.0339528
월롱역,37.79620379,126.7925632
이촌역,37.52244891,126.9733255
서빙고역,37.51955012,126.988394
옥수역,37.54155186,127.0173802
응봉역,37.54994542,127.0344701
왕십리역,37.56126116,127.0370785
청량리역,37.58071852,127.0484998
중랑역,37.5948318,127.0756623
상봉역,37.59669897,127.0857421
망우역,37.59928883,127.0923583
양원역,36.96378243,129.0912785
구리역,37.60325633,127.1433464
도농역,37.60876542,127.1611605
양정역,37.60401174,127.1946713
덕소역,37.58688676,127.2088246
도심역,37.57963547,127.2226838
팔당역,37.54735586,127.2439526
운길산역,37.55464256,127.3102271
양수역,37.54595984,127.3291338
신원역,37.5255748,127.3730735
국수역,37.51617276,127.3992917
아신역,37.51390779,127.4432114
오빈역,37.50614917,127.4736568
양평역,37.52556883,126.8864193
원덕역,37.46876732,127.5465586
용문역,37.48261007,127.5943715
지평역,37.4768771,127.6296665
서울역,37.55331631,126.9697383
